Supplementary Data 1. Catalog of the 722 canids genomes
Name_ID_Study	Name_ID_SRA	Breed/CommonName	BioProject	BioSample	Sex	CoverageAll	CoverageX	CoverageRatio	AnalysisName_Phylo	Phylo_Results	Phylo_Bootstrap	Phylo_Notes	Genotyped on Illumina canine HD array	Used to do WGS/SNP chip comparison	Other_Information
Border Collie 4	Helsinki_BC1029	Border Collie	PRJNA319610	SAMN04908311	F	25.8034	25.982800000000001	0.99309543236294773	Border Collie 4	Border Collie	100				
Border Collie 5	Helsinki_BC222	Border Collie	PRJNA319610	SAMN04908307	M	26.147500000000001	14.544600000000001	1.7977462425917523	Border Collie 5	Border Collie	100				
Border Collie 6	Helsinki_BC387	Border Collie	PRJNA319610	SAMN04908308	M	24.728100000000001	13.7895	1.7932557380615686	Border Collie 6	Border Collie	100				
Border Collie 7	BC485	Border Collie	PRJEB16012	SAMEA104125112	M	25.9237	14.454700000000001	1.7934443468214489	Border Collie 7	Border Collie	100				
Border Collie 8	BC518	Border Collie	PRJEB16012	SAMEA104125113	F	26.7622	27.072500000000002	0.98853818450457098	Border Collie 8	Border Collie	100				
Border Collie 9	Helsinki_BC578	Border Collie	PRJNA319610	SAMN04908309	M	27.035	15.145099999999999	1.7850657968583898	Border Collie 9	Border Collie	100				
Border Collie 10	BC597	Border Collie	PRJEB16012	SAMEA104125115	M	23.390499999999999	13.0725	1.7892904953145916	Border Collie 10	Border Collie	100				
Border Collie 11	BorderCollie01	Border Collie	PRJNA188158	SAMN01908107	F	10.736800000000001	10.588900000000001	1.0139674564874539	Border Collie 11	Border Collie	100			
Border Collie 12	BorderCollie02	Border Collie	PRJNA288568	SAMN03801650	M	18.913799999999998	10.7616	1.7575267618198036	Border Collie 12	Border Collie	100				
Border Collie 13	BorderCollie03	Border Collie	PRJNA288568	SAMN03801651	M	28.662600000000001	16.188500000000001	1.770553170460512	Border Collie 13	Border Collie	100				
Border Collie 14	BorderCollie07	Border Collie	PRJEB16012	SAMEA4504821	F	21.471599999999999	22.017800000000001	0.97519279855389718	Border Collie 14	Border Collie	100			
Border Collie 15	BorderCollie08	Border Collie	PRJEB12337	SAMEA3724571	F	30.3248	30.475100000000001	0.99506810478062413	Border Collie 15	Border Collie	100			
Border Terrier 1	CFA.107838	Border Terrier	PRJNA263947	SAMN06159673	M	43.273200000000003	23.952200000000001	1.8066482410801514	Border Terrier 1	Border Terrier	100				
Border Terrier 2	BorderTerrier01	Border Terrier	PRJNA263947	SAMN03580407	F	23.9053	24.192900000000002	0.98811221474068833	Border Terrier 2	Border Terrier	100				
Border Terrier 3	BorderTerrier02	Border Terrier	PRJNA263947	SAMN04196855	F	33.034399999999998	33.451799999999999	0.98752234558379515	Border Terrier 3	Border Terrier	100				
Border Terrier 4	BorderTerrier03	Border Terrier	PRJNA263947	SAMN04196856	M	30.487200000000001	17.4115	1.7509806736926745	Border Terrier 4	Border Terrier	100				
Borzoi	Borzoi01	Borzoi	PRJNA448733	SAMN08872905	F	50.850499999999997	51.776600000000002	0.98211354163850073	Borzoi	Borzoi	100		yes	yes	
Boston Terrier	BostonTerrier01	Boston Terrier	PRJNA448733	SAMN08872906	F	54.2211	55.264499999999998	0.98111988708845643	Boston Terrier	Boston Terrier	100		yes	yes	
Bouvier des Flandres 1	BouvierDesFlandres01	Bouvier des Flandres	PRJNA448733	SAMN08872908	F	63.340400000000002	64.586799999999997	0.98070193909591441	Bouvier des Flandres 1	Bouvier des Flandres	100				
Bouvier des Flandres 2	CFA.107836	Bouvier des Flandres	PRJNA263947	SAMN06159671	M	40.953600000000002	22.6082	1.8114489433037571	Bouvier des Flandres 2	Bouvier des Flandres	100				
Bouvier des Flandres 3	BouvierDesFlandres02	Bouvier des Flandres	PRJNA448733	SAMN08872909	M	21.881699999999999	12.276199999999999	1.7824489662925009	Bouvier des Flandres 3	Bouvier des Flandres	100				
Boxer	Boxer01	Boxer	PRJNA255370	SAMN02921305	F	29.9085	30.596800000000002	0.97750418344402024	Boxer	Boxer	100				
Brittany	BrittanySpaniel01	Brittany	PRJNA288568	SAMN03801653	M	10.1812	5.82125	1.7489714408417436	Brittany	Brittany	100				
Bull Terrier 1	BT1021	Bull Terrier	PRJEB16012	SAMEA104125116	F	23.161799999999999	23.524899999999999	0.98456529039443319	Bull Terrier 1	Bull Terrier/Mini Bull Terrier	100				
Bull Terrier 2	BullTerrier01	Bull Terrier	PRJNA448733	SAMN08872913	F	38.0364	38.6128	0.98507230762855846	Bull Terrier 2	Bull Terrier/Mini Bull Terrier	100				
Bull Terrier 3	BullTerrier02	Bull Terrier	PRJNA448733	SAMN08872914	M	41.700299999999999	23.2819	1.7911038188463999	Bull Terrier 3	Bull Terrier/Mini Bull Terrier	100				
Bull Terrier 4	BullTerrier03	Bull Terrier	PRJNA448733	SAMN08872915	M	49.699800000000003	27.809699999999999	1.7871390198384018	Bull Terrier 4	Bull Terrier/Mini Bull Terrier	100		yes	yes
Bull Terrier 5	BullTerrier04	Bull Terrier	PRJNA448733	SAMN08872916	M	48.3324	26.952000000000002	1.7932769367764914	Bull Terrier 5	Bull Terrier/Mini Bull Terrier	100		yes	yes
Bull Terrier 6	BullTerrier05	Bull Terrier	PRJNA448733	SAMN08872917	M	61.807299999999998	34.672899999999998	1.7825823625944182	Bull Terrier 6	Bull Terrier/Mini Bull Terrier	100		yes	yes
Bull Terrier 7	BullTerrier06	Bull Terrier	PRJNA448733	SAMN08872918	F	93.826499999999996	95.935199999999995	0.97801953818827714	Bull Terrier 7	Bull Terrier/Mini Bull Terrier	100			
Bull Terrier 8	BullTerrier07	Bull Terrier	PRJNA448733	SAMN08872919	M	7.4386099999999997	4.2886600000000001	1.7344834983421393	Bull Terrier 8	Bull Terrier/Mini Bull Terrier	100			
Bull Terrier 9	BullTerrier08	Bull Terrier	PRJNA448733	SAMN08872920	M	8.1581700000000001	4.6843199999999996	1.7415910953991189	Bull Terrier 9	Bull Terrier/Mini Bull Terrier	100			
Bull Terrier Miniature 	BT007	Miniature Bull Terrier 	PRJEB16012	SAMEA4506897	M	38.451700000000002	21.250299999999999	1.8094662193004336	Bull Terrier Miniature 	Bull Terrier/Mini Bull Terrier	100				
Bulldog	Bulldog01	Bulldog	PRJNA288568	SAMN03801654	F	52.382100000000001	52.286799999999999	1.0018226397484642	Bulldog	Bulldog	100		yes	yes	
Bullmastiff	BU002	Bullmastiff	PRJEB16012	SAMEA103949042	M	13.8461	7.7363400000000002	1.7897481237898023	Bullmastiff	Bullmastiff	100				
Cairn Terrier	CE073	Cairn Terrier	PRJEB16012	SAMEA104091555	F	28.277200000000001	28.804300000000001	0.98170064886145469	Cairn Terrier	Cairn Terrier	100				
Cane Corso	CaneCorso01	Cane Corso	PRJNA263947	SAMN04196864	F	29.765699999999999	30.258199999999999	0.98372342042818151	Cane Corso	Cane Corso	75				
Carolina Dog	CarolinaDog01	Carolina Dog	PRJNA448733	SAMN08872926	F	41.782899999999998	42.628300000000003	0.98016810428752721	Carolina Dog	with other Carolina Dogs outside the Asian Toys clade	54	Breed not available for comparison			
Caucasian Ovcharka	CaucasianOvcharka01	Caucasian Ovcharka	PRJNA232497	SAMN02485585	F	10.3331	10.635199999999999	0.97159432826839176	Caucasian Ovcharka	Caucasian Ovcharka	100				
Cavalier King Charles Spaniel 1	CK006	Cavalier King Charles Spaniel	PRJEB16012	SAMEA104091570	F	29.310500000000001	29.529299999999999	0.99259041020274785	Cavalier King Charles Spaniel 1	Cavalier King Charles Spaniel	100				
Cavalier King Charles Spaniel 2	CK023	Cavalier King Charles Spaniel	PRJEB16012	SAMEA104091569	F	31.140499999999999	31.445499999999999	0.99030067895247331	Cavalier King Charles Spaniel 2	Cavalier King Charles Spaniel	100				
Chesapeake Bay Retriever	CFA.109671	Chesapeake Bay Retriever	PRJNA263947	SAMN06159679	M	38.635199999999998	21.287700000000001	1.8149071999323552	Chesapeake Bay Retriever	Chesapeake Bay Retriever	100				
Chihuahua 1	Chihuahua01	Chihuahua	PRJNA288568	SAMN03801656	F	53.891599999999997	54.573500000000003	0.98750492455129313	Chihuahua 1	Chihuahua	100		yes	yes	
Chihuahua 2	Chihuahua03	Chihuahua	PRJNA266585	SAMN03168379	M	18.412800000000001	10.3508	1.7788769950148782	Chihuahua 2	Chihuahua	100				
Chihuahua 3	Chihuahua05	Chihuahua	PRJEB13139	SAMEA3905753	M	32.036099999999998	17.160599999999999	1.866840320268522	Chihuahua 3	Chihuahua	100				
Chinese Crested 1	ChineseCrested01	Chinese Crested	PRJNA261736	SAMN03075611	M	35.347200000000001	19.735299999999999	1.7910647418584973	Chinese Crested 1	Chinese Crested	100			
Chinese Crested 2	ChineseCrested05	Chinese Crested	PRJNA255370	SAMN02921308	M	21.905100000000001	12.259	1.7868586344726323	Chinese Crested 2	Chinese Crested	100				
Chinese Indigenous Dog 1	ChineseIndigenousDog01	Chinese Indigenous Dog	PRJNA266585	SAMN03168352	F	17.685199999999998	17.010200000000001	1.0396820731090755	Chinese Indigenous Dog 1						
Chinese Indigenous Dog 2	ChineseIndigenousDog02	Chinese Indigenous Dog	PRJNA266585	SAMN03168353	M	20.919899999999998	13.202400000000001	1.5845528085802578	Chinese Indigenous Dog 2						
Chinese Indigenous Dog 3	ChineseIndigenousDog03	Chinese Indigenous Dog	PRJNA266585	SAMN03168354	F	18.755099999999999	18.6859	1.003703327107605	Chinese Indigenous Dog 3						
Chinese Indigenous Dog 4	ChineseIndigenousDog04	Chinese Indigenous Dog	PRJNA266585	SAMN03168355	F	19.231400000000001	21.2	0.90714150943396232	Chinese Indigenous Dog 4						
Chinese Indigenous Dog 5	ChineseIndigenousDog05	Chinese Indigenous Dog	PRJNA266585	SAMN03168363	M	19.6799	12.023	1.6368543624719289	Chinese Indigenous Dog 5						
Chinese Indigenous Dog 6	ChineseIndigenousDog06	Chinese Indigenous Dog	PRJNA266585	SAMN03168364	M	16.861699999999999	10.589499999999999	1.592303697058407	Chinese Indigenous Dog 6						
Chinese Indigenous Dog 7	ChineseIndigenousDog07	Chinese Indigenous Dog	PRJNA266585	SAMN03168356	F	19.0626	19.1296	0.99649757443961196	Chinese Indigenous Dog 7						
Chinese Indigenous Dog 8	ChineseIndigenousDog08	Chinese Indigenous Dog	PRJNA266585	SAMN03168358	M	17.140499999999999	9.7190999999999992	1.7635892212241875	Chinese Indigenous Dog 8						
Chinese Indigenous Dog 9	ChineseIndigenousDog09	Chinese Indigenous Dog	PRJNA266585	SAMN03168359	M	19.264600000000002	11.929399999999999	1.6148842355860313	Chinese Indigenous Dog 9						
Chinese Indigenous Dog 10	ChineseIndigenousDog10	Chinese Indigenous Dog	PRJNA266585	SAMN03168360	F	12.799099999999999	11.954599999999999	1.0706422632292172	Chinese Indigenous Dog 10						
Chinese Indigenous Dog 11	ChineseIndigenousDog11	Chinese Indigenous Dog	PRJNA266585	SAMN03168361	F	17.486999999999998	16.767800000000001	1.0428917329643721	Chinese Indigenous Dog 11						
Chinese Indigenous Dog 12	ChineseIndigenousDog12	Chinese Indigenous Dog	PRJNA266585	SAMN03168365	M	16.4313	9.1814300000000006	1.7896231850594078	Chinese Indigenous Dog 12						
Chinese Indigenous Dog 13	ChineseIndigenousDog13	Chinese Indigenous Dog	PRJNA266585	SAMN03168366	F	18.1389	17.414400000000001	1.0416035005512678	Chinese Indigenous Dog 13						
Chinese Indigenous Dog 14	ChineseIndigenousDog14	Chinese Indigenous Dog	PRJNA266585	SAMN03168367	M	10.2317	6.1057100000000002	1.6757592483101882	Chinese Indigenous Dog 14						
Chinese Indigenous Dog 15	ChineseIndigenousDog15	Chinese Indigenous Dog	PRJNA266585	SAMN03168357	M	18.273800000000001	11.4518	1.5957142108664142	Chinese Indigenous Dog 15						
Chinese Shar-Pei 1	NGSDOG024	Chinese Shar-Pei	PRJNA327712	SAMN05356426	M	10.613300000000001	6.4154299999999997	1.6543396155830554	Chinese Shar-Pei 1	Chinese Shar-Pei	100				
Chinese Shar-Pei 2	NGSDOG025	Chinese Shar-Pei	PRJNA327712	SAMN05356427	M	10.7233	6.3843899999999998	1.679612304386167	Chinese Shar-Pei 2	Chinese Shar-Pei	100				
Chinook	Chinook01	Chinook	PRJNA263947	SAMN03580382	F	16.978899999999999	17.8536	0.95100707980463317	Chinook	Chinook	100				
Chongqing Dog	ChongqingDog01	Chongqing Dog	PRJNA232497	SAMN02485578	M	7.4403699999999997	4.3065199999999999	1.7276989309233441	Chongqing Dog	outside Chow Chow clade	100	Breed not available for comparison			
Chow Chow 1	ChowChow01	Chow Chow	PRJNA288568	SAMN03801657	F	6.0429500000000003	6.1618199999999996	0.98070862180329843	Chow Chow 1	Chow Chow	100		yes		
Chow Chow 2	ChowChow02	Chow Chow	PRJNA288568	SAMN03801658	F	64.836100000000002	65.040400000000005	0.99685887540667029	Chow Chow 2	Chow Chow	100		yes	yes	
Chow Chow 3	ChowChow03	Chow Chow	PRJNA232497	SAMN02485574	M	7.3007	4.2312200000000004	1.7254361626197643	Chow Chow 3	Chow Chow	100				
Chow Chow 4	CW011	Chow Chow	PRJEB16012	SAMEA104091566	F	19.677600000000002	19.777200000000001	0.99496389782173422	Chow Chow 4	Chow Chow	100				
Clumber Spaniel	ClumberSpaniel01	Clumber Spaniel	PRJNA288568	SAMN03801659	M	18.314900000000002	10.357900000000001	1.7682059104644765	Clumber Spaniel	Clumber Spaniel	100				
American Cocker Spaniel 1	CockerSpanielAmerican01	Cocker Spaniel (American)	PRJNA288568	SAMN03801660	F	41.917400000000001	42.700699999999998	0.98165603842559968	American Cocker Spaniel 1	Cocker Spaniel (American)	100		yes	yes	
American Cocker Spaniel 2	CockerSpanielAmerican02	Cocker Spaniel (American)	SRP108905	SRR5664960 	M	18.904800000000002	10.724399999999999	1.7627839319682224	American Cocker Spaniel 2	Cocker Spaniel (American)	100				
American Cocker Spaniel 3	CockerSpanielAmerican03	Cocker Spaniel (American)	SRP108905	SRR5664961	M	38.319499999999998	18.474	2.0742394716899426	American Cocker Spaniel 3	Cocker Spaniel (American)	100				
American Cocker Spaniel 4	CockerSpanielAmerican04	Cocker Spaniel (American)	SRP108905	SRR5664958	F	48.0214	48.107199999999999	0.99821648318754785	American Cocker Spaniel 4	Cocker Spaniel (American)	100				
American Cocker Spaniel 5	CockerSpanielAmerican05	Cocker Spaniel (American)	SRP108905	SRR5664959	F	35.7986	35.827100000000002	0.99920451278501465	American Cocker Spaniel 5	Cocker Spaniel (American)	100				
American Cocker Spaniel 6	CockerSpanielAmerican06	Cocker Spaniel (American)	SRP108905	SRR5664964	M	49.810299999999998	27.6157	1.80369499958357	American Cocker Spaniel 6	Cocker Spaniel (American)	100				
Coyote 1	Coyote01	Coyote	PRJNA255370	SAMN02921301	M	26.251100000000001	14.648099999999999	1.7921163836948137							Coyote (California)
Coyote 2	Coyote02	Coyote	PRJNA255370	SAMN02921302	M	6.7710499999999998	4.1516400000000004	1.6309337996550759							Coyote (Alabama)
Coyote 3	Coyote03	Coyote	PRJNA255370	SAMN02921303	M	7.9919200000000004	4.4883300000000004	1.7805999113255933							Coyote (Midwest)
Curly Coated Retreiver	CR039	Curly-Coated Retriever	PRJEB16012	SAMEA104091556	F	22.325900000000001	22.760200000000001	0.98091844535636763	Curly Coated Retreiver	Curly-Coated Retriever	100				
Dachshund 1	CFA.107835	Dachshund	PRJNA263947	SAMN06159670	M	44.898000000000003	24.755800000000001	1.8136355924672198	Dachshund 1	Dachshund	100				
Dachshund 2	CFA.109668	Dachshund	PRJNA263947	SAMN06159676	M	36.173000000000002	20.0182	1.807005624881358	Dachshund 2	Dachshund	100				
Dachshund 3	Dachshund01	Dachshund	PRJEB7736	SAMEA3121338	M	17.277799999999999	9.8085100000000001	1.7615111775386882	Dachshund 3	Dachshund	100				
Dachshund 4	DH0117	Dachshund	PRJEB16012	SAMEA104091567	M	25.613700000000001	14.2119	1.8022713359930764	Dachshund 4	Dachshund	100				
Dachshund 5	DH126	Dachshund	PRJEB16012	SAMEA104125117	F	18.890499999999999	19.005099999999999	0.99397003962094388	Dachshund 5	Dachshund	100				
Dalmatian 1	DAL162K1	Dalmatian	PRJNA360671	SAMN06214558	M	15.5739	8.56508	1.8183017555002405	Dalmatian 1	Dalmatian	100				
Dalmatian 2	Dalmatian01	Dalmatian	PRJNA448733	SAMN08872976	F	34.520400000000002	34.488700000000001	1.0009191416318968	Dalmatian 2	Dalmatian	100				
Dhole	Dhole01	Dhole	PRJNA266585	SAMN03168405	F	39.646299999999997	37.520000000000003	1.056671108742004							Dhole (Cuon alpinus)
Dingo	Dingo01	Dingo	PRJNA274504	SAMN03366709	M	6.8221100000000003	3.9884499999999998	1.7104664719377203							
Doberman Pinscher 1	DO242	Doberman Pinscher	PRJEB16012	SAMEA4505489	F	40.379300000000001	41.048499999999997	0.98369733364191148	Doberman Pinscher 1	Doberman Pinscher	100				
Doberman Pinscher 2	Doberman01	Doberman Pinscher	PRJNA288568	SAMN03801662	F	32.293100000000003	32.906300000000002	0.9813652704801209	Doberman Pinscher 2	Doberman Pinscher	100				
Doberman Pinscher 3	Doberman02	Doberman Pinscher	PRJNA263947	SAMN03580409	M	27.078299999999999	15.655099999999999	1.7296791460929666	Doberman Pinscher 3	Doberman Pinscher	100			
Doberman Pinscher 4	Doberman03	Doberman Pinscher	PRJEB16012	SAMEA4509491	F	7.5470199999999998	7.5995100000000004	0.99309297573132993	Doberman Pinscher 4	Doberman Pinscher	100			
Doberman Pinscher 5	Doberman04	Doberman Pinscher	PRJEB16012	SAMEA4509492	M	8.5670199999999994	4.8979999999999997	1.7490853409554921	Doberman Pinscher 5	Doberman Pinscher	100			
East Siberian Laika	EastSiberianLaika01	East Siberian Laika	PRJNA266585	SAMN03168390	F	17.510300000000001	17.7636	0.98574050305118333	East Siberian Laika	with Carolina Dogs outside the Asian Toys clade	54	Breed not available for comparison			
Elo	Elo01	Elo	PRJEB16012	SAMEA4506890	M	18.111599999999999	9.9094599999999993	1.827708068855417	Elo	outside Eurasier clade	99	Breed not available for comparison		
English Cocker Spaniel 1	CP003	English Cocker Spaniel	PRJEB16012	SAMEA4506900	M	27.5029	15.4293	1.7825111962305484	English Cocker Spaniel 1	English Cocker Spaniel	100				
English Cocker Spaniel 2	CockerSpanielEnglish01	English Cocker Spaniel	PRJEB2162	SAMEA1521941	M	23.3002	13.0228	1.7891851214792518	English Cocker Spaniel 2	English Cocker Spaniel	100			
English Cocker Spaniel 3	CockerSpanielEnglish02	English Cocker Spaniel	PRJNA263947	SAMN03323672	M	8.0783799999999992	4.9745200000000001	1.6239516576473709	English Cocker Spaniel 3	English Cocker Spaniel	100			
English Cocker Spaniel 4	CockerSpanielEnglish03	English Cocker Spaniel	PRJNA263947	SAMN03323673	F	14.319599999999999	14.3947	0.9947828020035151	English Cocker Spaniel 4	English Cocker Spaniel	100			
English Cocker Spaniel 5	CockerSpanielEnglish04	English Cocker Spaniel	PRJNA255370	SAMN02921306	M	10.9031	6.4487800000000002	1.6907228964238197	English Cocker Spaniel 5	English Cocker Spaniel	100				
English Cocker Spaniel 6	CockerSpanielEnglish05	English Cocker Spaniel	SRP108905	SRR5664965	F	36.04	35.578899999999997	1.0129599284969464	English Cocker Spaniel 6	English Cocker Spaniel	100				
English Setter 1	CFA.105990	English Setter	PRJNA263947	SAMN06159667	F	27.962199999999999	27.988299999999999	0.99906746747748165	English Setter 1	English Setter	100				
English Setter 2	CFA.117996	English Setter	PRJNA263947	SAMN06159682	M	39.400100000000002	21.8432	1.8037695941986522	English Setter 2	English Setter	100				
English Setter 3	EnglishSetter01	English Setter	PRJNA263947	SAMN04196858	M	25.642099999999999	14.3635	1.7852264420231836	English Setter 3	English Setter	100				
English Springer Spaniel 1	EnglishSpringerSpaniel01	English Springer Spaniel	PRJNA263947	SAMN03580391	M	31.365100000000002	17.9941	1.7430768974274902	English Springer Spaniel 1	English Springer Spaniel	100				
English Springer Spaniel 2	EnglishSpringerSpaniel03	English Springer Spaniel	PRJNA263947	SAMN04196857	M	31.349499999999999	17.7881	1.7623860895767394	English Springer Spaniel 2	English Springer Spaniel	100				
Entlebucher Sennenhund 1	EntlebucherSennenhund01	Entlebucher Sennenhund	PRJEB16012	SAMEA4504828	M	13.7681	7.7094899999999997	1.7858639157713416	Entlebucher Sennenhund 1	Entlebucher Sennenhund	100	Breed not available for comparison		
Entlebucher Sennenhund 2	EntlebucherSennenhund02	Entlebucher Sennenhund	PRJEB16012	SAMEA4505497	M	13.1998	7.2265699999999997	1.8265650232406245	Entlebucher Sennenhund 2	Entlebucher Sennenhund	100	Breed not available for comparison		
Entlebucher Sennenhund 3	EntlebucherSennenhund03	Entlebucher Sennenhund	PRJEB16012	SAMEA4504829	M	12.3218	6.7419200000000004	1.8276396041483731	Entlebucher Sennenhund 3	Entlebucher Sennenhund	100	Breed not available for comparison		
Entlebucher Sennenhund 4	EntlebucherSennenhund04	Entlebucher Sennenhund	PRJEB16012	SAMEA4505498	M	11.936299999999999	6.6089700000000002	1.8060756819897803	Entlebucher Sennenhund 4	Entlebucher Sennenhund	100	Breed not available for comparison		
Entlebucher Sennenhund 5	EntlebucherSennenhund05	Entlebucher Sennenhund	PRJEB16012	SAMEA4504830	M	11.9071	6.6516400000000004	1.7900998851411078	Entlebucher Sennenhund 5	Entlebucher Sennenhund	100	Breed not available for comparison		
Entlebucher Sennenhund 6	EntlebucherSennenhund06	Entlebucher Sennenhund	PRJEB16012	SAMEA4505499	M	13.869300000000001	7.7977100000000004	1.7786375743647815	Entlebucher Sennenhund 6	Entlebucher Sennenhund	100	Breed not available for comparison		
Entlebucher Sennenhund 7	EntlebucherSennenhund07	Entlebucher Sennenhund	PRJEB16012	SAMEA4505500	M	13.0596	7.37277	1.771328822138762	Entlebucher Sennenhund 7	Entlebucher Sennenhund	100	Breed not available for comparison		
Entlebucher Sennenhund 8	EntlebucherSennenhund08	Entlebucher Sennenhund	PRJEB16012	SAMEA4505501	M	17.076599999999999	9.4189900000000009	1.8129969349155268	Entlebucher Sennenhund 8	Entlebucher Sennenhund	100	Breed not available for comparison		
Eurasier 1	Eurasier01	Eurasier	PRJEB6079	SAMEA2446720	F	12.1854	12.270899999999999	0.99303229591961473	Eurasier 1	Eurasier	100			
Eurasier 2	Eurasier02	Eurasier	PRJEB16012	SAMEA4506889	M	16.185500000000001	9.0821699999999996	1.7821181501777661	Eurasier 2	Eurasier	100			
Field Spaniel	CFA.107833	Field Spaniel	PRJNA263947	SAMN06159668	M	42.165500000000002	23.225300000000001	1.8154986157337043	Field Spaniel	Field Spaniel	100				
Finnish Lapphund	FinnishLapphund01	Finnish Lapphund	PRJNA266585	SAMN03168391	M	18.554500000000001	10.627000000000001	1.7459772278159404	Finnish Lapphund	outside Finnish Spitz clade	78	Breed not available for comparison			
Flatcoated Retriever 1	FlatcoatedRetriever01	Flat-Coated Retriever	PRJNA288568	SAMN03801666	F	68.871600000000001	70.322500000000005	0.97936791211916518	Flatcoated Retriever 1	Flat-Coated Retriever	100		yes	yes	
Flatcoated Retriever 2	FlatcoatedRetriever02	Flat-Coated Retriever	PRJNA288568	SAMN03801667	F	44.078299999999999	44.670999999999999	0.98673188422018754	Flatcoated Retriever 2	Flat-Coated Retriever	100		yes	yes	
Flatcoated Retriever 3	FlatcoatedRetriever03	Flat-Coated Retriever	PRJNA448733	SAMN08873011	F	42.423200000000001	43.365499999999997	0.97827074517761825	Flatcoated Retriever 3	Flat-Coated Retriever	100		yes	yes
Fonni Dog	FonniDog01	Fonni's Dog	PRJNA448733	SAMN08873012	F	42.448	43.102699999999999	0.98481069631368801	Fonni Dog	Fonni's Dog	51		yes	yes	
French Bulldog 1	FB065	French Bulldog	PRJEB16012	SAMEA4504835	M	14.444800000000001	8.1999999999999993	1.7615609756097563	French Bulldog 1	French Bulldog	100				
French Bulldog 2	FrenchBulldog01	French Bulldog	PRJEB13468	SAMEA3928146	M	19.7029	11.0097	1.7895946301897416	French Bulldog 2	French Bulldog	100				
German Hunting Terrier	JT007	German Hunting Terrier	PRJEB16012	SAMEA104125120	M	37.516500000000001	20.968900000000001	1.7891496454272755	German Hunting Terrier	outside Lakeland Terrier, Smooth Fox Terrier and Wire Fox Terrier clade	100	Breed not available for comparison			
German Shepherd Dog 1	DS043	German Shepherd Dog	PRJEB16012	SAMEA4506895	F	29.767299999999999	29.755600000000001	1.0003932032961862	German Shepherd Dog 1	German Shepherd Dog	100				Dam (DS051) and Sire (DS053) are sequenced
German Shepherd Dog 2	DS051	German Shepherd Dog	PRJEB16012	SAMEA72802168	F	21.300899999999999	21.693899999999999	0.98188430849224895	German Shepherd Dog 2	German Shepherd Dog	100				Dam of DS043
German Shepherd Dog 3	DS053	German Shepherd Dog	PRJEB16012	SAMEA72802918	M	20.858799999999999	11.6934	1.7838096704123692	German Shepherd Dog 3	German Shepherd Dog	100				Sire of DS043
German Shepherd Dog 4	GermanShepherd01	German Shepherd Dog	PRJNA192935	SAMN01974494	F	9.9969900000000003	9.9139599999999994	1.0083750590077023	German Shepherd Dog 4	German Shepherd Dog	100				
German Shepherd Dog 5	GermanShepherd02	German Shepherd Dog	PRJNA233638	SAMN02585201	F	15.9152	16.036899999999999	0.99241125155111032	German Shepherd Dog 5	German Shepherd Dog	100				
German Shepherd Dog 6	GermanShepherd03	German Shepherd Dog	PRJNA233638	SAMN02585202	M	16.695	9.4418299999999995	1.7681953604333061	German Shepherd Dog 6	German Shepherd Dog	100				
German Shepherd Dog 7	GermanShepherd04	German Shepherd Dog	PRJNA233638	SAMN02585203	F	16.366499999999998	16.6404	0.98354005913319387	German Shepherd Dog 7	German Shepherd Dog	100				
German Shepherd Dog 8	GermanShepherd05	German Shepherd Dog	PRJNA233638	SAMN02585204	F	16.2179	16.508299999999998	0.98240884888207758	German Shepherd Dog 8	German Shepherd Dog	100				
German Shepherd Dog 9	GermanShepherd06	German Shepherd Dog	PRJNA233638	SAMN02585205	F	15.4978	15.7666	0.98295130211967063	German Shepherd Dog 9	German Shepherd Dog	100				
German Shepherd Dog 10	GermanShepherd07	German Shepherd Dog	PRJNA233638	SAMN02585206	M	16.4451	9.34145	1.7604440424131158	German Shepherd Dog 10	German Shepherd Dog	100				
German Shepherd Dog 11	GermanShepherd08	German Shepherd Dog	PRJNA233638	SAMN02585207	M	17.0837	9.7557100000000005	1.7511488143866514	German Shepherd Dog 11	German Shepherd Dog	100				
German Shepherd Dog 12	GermanShepherd09	German Shepherd Dog	PRJNA233638	SAMN02585208	M	15.5221	8.8134300000000003	1.7611871881889343	German Shepherd Dog 12	German Shepherd Dog	100				
German Shepherd Dog 13	GermanShepherd10	German Shepherd Dog	PRJNA233638	SAMN02585209	M	17.131	9.7694600000000005	1.7535257834107514	German Shepherd Dog 13	German Shepherd Dog	100				
German Shepherd Dog 14	GermanShepherd11	German Shepherd Dog	PRJNA233638	SAMN02585210	M	16.192699999999999	9.19712	1.7606272398315994	German Shepherd Dog 14	German Shepherd Dog	100				
German Shepherd Dog 15	GermanShepherd12	German Shepherd Dog	PRJNA263947	SAMN03580392	M	29.2333	16.7362	1.7467107228642105	German Shepherd Dog 15	German Shepherd Dog	100				
German Wirehaired Pointer	GermanWirehairedPointer01	German Wirehaired Pointer	PRJEB13468	SAMEA3928144	F	23.082699999999999	23.424099999999999	0.98542526713939915	German Wirehaired Pointer	German Wirehaired Pointer	100			
Golden Jackal	GoldenJackal01	Golden Jackal	PRJNA274504	SAMN03366713	F	5.50319	5.5357399999999997	0.99412002731342153							
Golden Retriever 1	140447_S11	Golden Retriever	PRJNA448733	SAMN08873033	M	35.372300000000003	19.526599999999998	1.811493040263026	Golden Retriever 1	Golden Retreiver	100				
