Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR7120197,2018-05-16 00:07:04,2018-05-10 02:36:01,226536857,57087287964,226536857,252,20702,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120197.sralite.1,SRX4041824,PortugueseWaterDog05,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259293,SAMN08873223,simple,9615,Canis lupus familiaris,PortugueseWaterDog05,,,,,male,,no,,,,,NHGRI,SRA699439,,public,BA6AA3C3E0B5AB81642D8FEB845EB853,12469625968B892A10B7B23D4F3B92E2
SRR7120198,2018-05-16 00:07:04,2018-05-10 02:04:13,151182936,38098099872,151182936,252,13768,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120198.sralite.1,SRX4041825,PortugueseWaterDog06,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259294,SAMN08873224,simple,9615,Canis lupus familiaris,PortugueseWaterDog06,,,,,female,,no,,,,,NHGRI,SRA699439,,public,37CFA7BE247059404840351EA51EEEDE,24C3315A3B783F67324C681CAECB694B
SRR7120199,2018-05-16 00:07:04,2018-05-10 03:12:31,210086346,52941759192,210086346,252,19521,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120199.sralite.1,SRX4041826,PortugueseWaterDog07,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259295,SAMN08873225,simple,9615,Canis lupus familiaris,PortugueseWaterDog07,,,,,male,,no,,,,,NHGRI,SRA699439,,public,38A637A48A86D6ADB584772E350DB818,89C6DFF2C60F2B23D5135D9461EE4804
SRR7120200,2018-05-16 00:07:04,2018-05-10 03:06:29,188466686,47493604872,188466686,252,17602,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120200.sralite.1,SRX4041827,PortugueseWaterDog08,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259296,SAMN08873226,simple,9615,Canis lupus familiaris,PortugueseWaterDog08,,,,,male,,no,,,,,NHGRI,SRA699439,,public,DD63E96540B1232880F02CEB4E192F76,D24EEB499FDBDDBEACB64C67709AA561
SRR7120201,2018-05-16 00:07:04,2018-05-10 05:46:00,337704938,85101644376,337704938,252,32230,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120201.sralite.1,SRX4041828,PortugueseWaterDog09,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259297,SAMN08873227,simple,9615,Canis lupus familiaris,PortugueseWaterDog09,,,,,male,,no,,,,,NHGRI,SRA699439,,public,C5F600C16BA985FBC237CD93D7FBCB3E,9EB98F273880D725D4F000A95663672F
SRR7120204,2018-05-14 00:07:25,2018-05-07 11:23:37,258145906,77544985647,258145906,300,31450,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120204.sralite.1,SRX4041831,165414_S20,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259300,SAMN08873243,simple,9615,Canis lupus familiaris,165414_S20,,,,,female,,no,,,,,NHGRI,SRA699439,,public,CFB009211CDC3E45AF11A1DF2BC65497,56DE6CCB4E580DF4F405FA9DA03CAB1E
SRR7120205,2018-05-10 00:06:35,2018-05-04 19:37:03,280416098,84277246906,280416098,300,34606,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120205.sralite.1,SRX4041832,168979_S18,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259301,SAMN08873244,simple,9615,Canis lupus familiaris,168979_S18,,,,,male,,no,,,,,NHGRI,SRA699439,,public,E7006AB9DFB1376E6DB91D253038BCBC,DDC2C988A08E62858EE5D29F0F28D314
SRR7120206,2018-05-10 00:06:35,2018-05-04 19:59:15,260076733,78137203810,260076733,300,31767,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120206.sralite.1,SRX4041833,171515_S19,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259302,SAMN08873245,simple,9615,Canis lupus familiaris,171515_S19,,,,,male,,no,,,,,NHGRI,SRA699439,,public,4FFBDA32B6362DF60E420862A78C6CB7,C63387C786F274E41144F83E70F360E1
SRR7120202,2018-05-16 00:07:04,2018-05-10 02:32:37,150241465,37860849180,150241465,252,14192,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120202.sralite.1,SRX4041829,PortugueseWaterDog10,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259298,SAMN08873228,simple,9615,Canis lupus familiaris,PortugueseWaterDog10,,,,,male,,no,,,,,NHGRI,SRA699439,,public,09CF6A1D3DFA2BFAFBFB0F519DA5996B,ED92D555CF7B938B23A9BA7018488681
SRR7120203,2018-05-16 00:07:04,2018-05-10 04:09:11,215642901,54342011052,215642901,252,19884,GCF_000002285.3,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR007/120/SRR7120203.sralite.1,SRX4041830,PortugueseWaterDog11,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP144493,PRJNA448733,,448733,SRS3259299,SAMN08873229,simple,9615,Canis lupus familiaris,PortugueseWaterDog11,,,,,female,,no,,,,,NHGRI,SRA699439,,public,2E8A80CA541A3CC8A29040F622536608,4D462868F331954F6454361A5CC4F568
