Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR780873,2013-04-15 00:00:00,2014-03-14 14:07:05,38132075,8465320650,38132075,222,5183,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR000/780/SRR780873.sralite.1,SRX250662,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS402038,SAMN01974486,simple,9615,Canis lupus familiaris,GW1,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,7B070C15C2972E9C1F7101041AC257E9,BD5BB23C373C3CF86F4B65CA9A7EE3C7
SRR780874,2013-04-15 00:00:00,2014-03-14 10:30:16,2170555,481863210,2170555,222,203,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR000/780/SRR780874.sralite.1,SRX250766,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS402038,SAMN01974486,simple,9615,Canis lupus familiaris,GW1,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,D94AD95817978FDEE39805B3F404630E,D200CB778259ECFBB2AF88407729A236
SRR780932,2013-04-15 00:00:00,2014-03-14 10:44:02,30627954,4961728548,30627954,162,2887,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR000/780/SRR780932.sralite.1,SRX250775,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS402038,SAMN01974486,simple,9615,Canis lupus familiaris,GW1,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,335FE9B9BBA4B2AB77015B4FD1A35A07,80F0438487EFD3355375D6540A29A050
SRR780933,2013-04-15 00:00:00,2014-03-14 11:26:42,91246059,21899054160,91246059,240,13171,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR000/780/SRR780933.sralite.1,SRX250776,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS402038,SAMN01974486,simple,9615,Canis lupus familiaris,GW1,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,30122C8036ECA2F631B3F1EE44AEDC8F,5E4731568B4D4F82EFB187CEBF1263A5
SRR781456,2013-04-15 00:00:00,2014-03-14 11:12:15,10741766,2384672052,10741766,222,1305,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR000/781/SRR781456.sralite.1,SRX250850,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS402061,SAMN01974487,simple,9615,Canis lupus familiaris,GW2,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,4FB59A3FECC4F8336E77F953C2C4D4EE,86593BACA5F31718401EA2BE775E240A
SRR781457,2013-04-15 00:00:00,2014-03-14 11:18:37,9629191,2137680402,9629191,222,1226,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR000/781/SRR781457.sralite.1,SRX250851,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS402061,SAMN01974487,simple,9615,Canis lupus familiaris,GW2,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,32E172F9E712899DCEC92679A39F6195,C699E0E49EE6F06F9C94BE9E067E9F7F
SRR781524,2013-04-15 00:00:00,2014-03-14 12:17:10,94913084,22779140160,94913084,240,13320,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR000/781/SRR781524.sralite.1,SRX250861,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS402061,SAMN01974487,simple,9615,Canis lupus familiaris,GW2,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,75D4921873DA858F6F201A088CD067E4,F36CB1823F7893BB0FA233A2E206839F
SRR781639,2013-04-15 00:00:00,2014-03-14 12:39:07,109155838,22049479276,109155838,202,11488,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR000/781/SRR781639.sralite.1,SRX250886,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS402066,SAMN01974488,simple,9615,Canis lupus familiaris,GW3,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,AED98A31AB259E567363E266CA9B47D0,796C5D4C1EC87C3F640B4E0885469428
SRR781706,2013-04-15 00:00:00,2014-03-14 12:59:28,108185928,21853557456,108185928,202,13029,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/781/SRR781706/SRR781706.sralite.1,SRX250886,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS402066,SAMN01974488,simple,9615,Canis lupus familiaris,GW3,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,C2F48DD9164974EAC7A2C97CAA0F394E,C3CEF3BBE8C5387470F72EFACF6801C6
SRR781830,2013-04-15 00:00:00,2014-03-14 13:29:52,116299904,23492580608,116299904,202,13797,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR000/781/SRR781830/SRR781830.sralite.1,SRX250913,,WGS,unspecified,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP019470,PRJNA192935,,192935,SRS402070,SAMN01974490,simple,9615,Canis lupus familiaris,dogCI1,,,,,,,no,,,,,"KUNMING INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF S",SRA068869,,public,10508F4FF22869DAB4E9B305B05BCE56,EAE6B8F6CF97C9FB7B9FE9E4F56EDDBE
